identity,date,game_id,player_id,prediction_timestamp,scheduled_game_start,strict_pregame,model_semantic_name,model_artifact_sha256,p_over,target,actual_hits,outcome_attachment_contract,outcome_status,outcome_source,baseline_a_population,hitter_prior_resolved_games,hitter_prior_hits,baseline_b_hitter_shrunk
822867:683766:hits:0.5,2026-08-03,822867,683766,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:05:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.440584135989099,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,8,5.0,0.6003567820156606
822867:687529:hits:0.5,2026-08-03,822867,687529,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:05:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4419369557499982,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,9,3.0,0.44739461836768046
822867:687551:hits:0.5,2026-08-03,822867,687551,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:05:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.565286813056881,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,48,18.0,0.40367336629018874
822867:691740:hits:0.5,2026-08-03,822867,691740,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:05:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5170887090218683,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,25,10.0,0.44259722764395665
822867:694497:hits:0.5,2026-08-03,822867,694497,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:05:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6086825613689205,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,45,21.0,0.4831265757028409
822867:694671:hits:0.5,2026-08-03,822867,694671,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:05:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5761561881362209,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,36,27.0,0.7183115570966039
822867:701852:hits:0.5,2026-08-03,822867,701852,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:05:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5070900809159163,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,UNRESOLVED_NO_OFFICIAL_APPEARANCE_OR_ELIGIBLE_OUTCOME,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,16,5.0,0.40023785467710704
822867:808982:hits:0.5,2026-08-03,822867,808982,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:05:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.653480252331479,1.0,3.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,38,26.0,0.6653414893967515
823757:542303:hits:0.5,2026-08-03,823757,542303,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5442884348154516,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,UNRESOLVED_NO_OFFICIAL_APPEARANCE_OR_ELIGIBLE_OUTCOME,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,25,15.0,0.5941123791591082
823757:592885:hits:0.5,2026-08-03,823757,592885,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5890069527492027,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,44,25.0,0.5693405483125109
823757:641343:hits:0.5,2026-08-03,823757,641343,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6999785395359732,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,54,32.0,0.5904146534233962
823757:661388:hits:0.5,2026-08-03,823757,661388,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5924239502027826,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,43,26.0,0.6001119316127562
823757:664040:hits:0.5,2026-08-03,823757,664040,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.7401296297443696,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,52,35.0,0.6600951418708427
823757:666152:hits:0.5,2026-08-03,823757,666152,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5713162780509722,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,36,18.0,0.5137661025511493
823757:668804:hits:0.5,2026-08-03,823757,668804,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6336264288115875,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,55,41.0,0.7239001351150883
823757:668930:hits:0.5,2026-08-03,823757,668930,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6860595364691822,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,55,39.0,0.6921541033690566
823757:669003:hits:0.5,2026-08-03,823757,669003,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5380939125903976,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,54,30.0,0.5581565889072672
823757:680779:hits:0.5,2026-08-03,823757,680779,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5604201448832083,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,28,11.0,0.43349190311807134
823757:682848:hits:0.5,2026-08-03,823757,682848,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.568670169308352,1.0,3.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,14,11.0,0.7093503869204804
823757:683734:hits:0.5,2026-08-03,823757,683734,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4991807414614693,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,30,20.0,0.6475186450592255
823757:687401:hits:0.5,2026-08-03,823757,687401,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.586631300630543,1.0,3.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,41,21.0,0.5225654798418483
823757:687462:hits:0.5,2026-08-03,823757,687462,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6383570789124892,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,21,12.0,0.5726106383534679
823757:691373:hits:0.5,2026-08-03,823757,691373,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4804421770774948,,,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,UNRESOLVED_NO_OFFICIAL_APPEARANCE_OR_ELIGIBLE_OUTCOME,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,7,4.0,0.5737139008167046
823757:693304:hits:0.5,2026-08-03,823757,693304,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.7078656857680256,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,52,37.0,0.693428475204176
823757:694192:hits:0.5,2026-08-03,823757,694192,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6625509067740796,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,24,20.0,0.7689283910078303
823757:694378:hits:0.5,2026-08-03,823757,694378,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4901520394546077,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,33,16.0,0.5025782563963553
823757:699013:hits:0.5,2026-08-03,823757,699013,2026-08-03T23:30:26.031962+00:00,2026-08-03T19:40:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5279802151132532,0.0,0.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,35,21.0,0.5954815933081528
824160:514888:hits:0.5,2026-08-03,824160,514888,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5682084765328268,1.0,2.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,47,27.0,0.574649245677283
824160:543807:hits:0.5,2026-08-03,824160,543807,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6973264537028324,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,51,38.0,0.7221306527500095
824160:572233:hits:0.5,2026-08-03,824160,572233,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.6410449922572238,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,58,37.0,0.6303895229128873
824160:660821:hits:0.5,2026-08-03,824160,660821,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.4755365267551374,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,7,3.0,0.5070472341500378
824160:662139:hits:0.5,2026-08-03,824160,662139,2026-08-03T23:30:26.031962+00:00,2026-08-03T20:10:00-04:00,True,MLB_HITS_SEMANTIC_V1_2e7377b2cdcb,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf,0.5879310046992045,1.0,1.0,FROZEN_ORIGINAL_PROSPECTIVE_OUTCOME_ATTACHMENT,RESOLVED_FROZEN_GOVERNED_ATTACHMENT,artifacts/analysis/model_development/mlb_hits05_exact_current_model_baseline_stress_update_aug14_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_population.csv,0.575713564031321,52,27.0,0.5267618085375095
